fecha,hora,latitude,longitude,depth,mag
1946-07-12,23:00:00.000,-5.6,-78.96,25,3
1946-07-13,12:43:00.000,-5.6,-78.96,25,3
1946-07-18,11:51:00.000,-18.1,-70,30,4.2
1946-07-23,14:35:00.000,-4,-80.7,30,4.2
1946-07-26,06:44:45.000,-19.75,-70.5,200,6.8
1946-08-01,21:21:00.000,-9,-75.2,30,4.6
1946-08-06,13:17:00.000,-18,-69.2,30,4.2
1946-08-07,15:15:00.000,-9.04,-77.78,25,3.2
1946-08-12,15:38:00.000,-9.6,-78.7,40,4.4
1946-08-16,13:18:00.000,-14.4,-76.3,40,4.6
1946-08-17,15:32:00.000,-9.4,-75.4,30,4.6
1946-08-25,01:20:00.000,-6.2,-77.3,20,4.1
1946-09-02,10:10:00.000,-5,-78.9,30,3.9
1946-09-16,12:56:00.000,-15.8,-74.6,60,4.4
1946-09-22,02:55:00.000,-11.9,-77.5,40,4.4
1946-09-26,20:50:00.000,-12,-77.8,40,4.3
1946-09-27,18:30:00.000,-12,-77.8,40,4.3
1946-09-30,00:59:40.000,-14.332,-76.664,50,6
1946-10-09,08:30:00.000,-13.5,-76,90,4.9
1946-10-10,16:13:45.000,-11.83,-76.6,30,3
1946-10-17,21:15:00.000,-13.5,-76,90,4.7
1946-10-23,20:00:00.000,-6.85,-78.46,20,3.8
1946-10-27,04:54:00.000,-12.4,-76.4,90,4.7
1946-11-05,02:30:00.000,-16.5,-71.7,18,3.4
1946-11-10,17:42:53.000,-8.47,-77.86,15,7.3
1946-11-16,09:59:00.000,-18.1,-70,30,4.2
1946-11-16,16:36:00.000,-11.83,-76.6,30,3.4
1946-11-19,08:48:00.000,-12.87,-76.406,90,5.6
1946-12-05,07:55:00.000,-12.395,-76.451,90,5
1946-12-09,15:05:00.000,-10.8,-78.1,40,4.3
1946-12-10,12:45:00.000,-5.4,-80.8,40,4.3
1946-12-10,18:45:00.000,-8.47,-77.72,25,3.5
1946-12-13,12:49:00.000,-6,-81.3,0,5.6
1946-12-14,00:14:00.000,-4,-80.7,30,3.7
1947-01-05,19:52:00.000,-17.1,-71.5,30,4.2
1947-01-08,04:40:00.000,-12,-77.8,40,4.3
1947-02-03,16:43:00.000,-9.763,-76.418,40,4.3
1947-02-09,14:51:00.000,-11.6,-76,30,3.4
1947-02-09,15:18:00.000,-11.2,-75.4,15,4.3
1947-02-24,17:31:00.000,-15.31,-68.81,20,6.8
1947-02-25,08:55:00.000,-7.95,-77.7,25,4.3
1947-02-26,21:34:00.000,-4,-80.7,30,3.7
1947-03-16,01:15:00.000,-6.54,-78.62,25,3.3
1947-03-27,05:30:00.000,-12,-77.8,40,4.3
1947-03-28,08:40:00.000,-11.1,-74.8,30,3.8
1947-04-01,10:13:00.000,-11.2,-75.4,40,4
1947-04-01,14:17:00.000,-17.9,-70.7,70,4.6
1947-04-03,02:57:00.000,-11.2,-75.4,40,4
1947-04-04,03:15:00.000,-12,-77.8,40,4.5
1947-04-06,05:30:00.000,-11.4,-78.1,40,4.8
1947-04-08,01:30:00.000,-12,-77.8,40,4.3
1947-04-08,12:25:00.000,-11.721,-76.92,100,5
1947-04-19,08:06:00.000,-11.1,-74.8,30,4.8
1947-04-20,02:05:00.000,-13.5,-72.7,25,3.6
1947-06-01,22:21:00.000,-8.3,-75.1,30,4.2
1947-06-05,14:00:00.000,-8.48,-77.38,20,3.4
1947-07-01,14:30:00.000,-8.48,-77.38,25,3.3
1947-07-05,07:20:00.000,-17.4,-70.2,110,4.9
1947-07-06,01:00:00.000,-8.48,-77.38,25,3.3
1947-07-12,04:27:00.000,-9.392,-79.122,40,6.1
1947-07-19,15:10:00.000,-10.8,-78.1,40,4.1
1947-07-22,15:15:00.000,-13.34,-76,90,4.2
1947-07-23,02:25:00.000,-13.5,-76,90,4.7
1947-07-25,09:55:00.000,-8.2,-79.3,40,4.5
1947-07-29,12:45:00.000,-8.33,-77.5,20,4.2
1947-07-30,11:50:00.000,-12,-77.8,40,4.5
1947-07-31,21:30:00.000,-4.65,-79.45,20,3.5
1947-08-01,05:20:00.000,-12,-77.8,40,4.5
1947-08-02,23:45:00.000,-8.33,-77.5,20,3.7
1947-08-03,14:20:00.000,-12,-77.8,40,4.3
1947-08-04,02:23:00.000,-4,-80.7,30,3.7
1947-08-06,03:23:00.000,-4,-80.7,30,4.2
1947-08-11,08:20:00.000,-13.5,-76,90,4.7
1947-08-12,12:20:00.000,-12,-76.7,80,4.2
1947-08-14,10:15:00.000,-16.7,-71.8,20,3.9
1947-08-15,02:30:00.000,-11.15,-75.9,40,3.5
1947-08-15,03:30:00.000,-11.15,-75.9,40,4
1947-08-19,04:57:00.000,-10.6,-75.65,25,4.5
1947-08-23,04:50:00.000,-12,-77.8,40,4.3
1947-08-23,21:15:00.000,-11.25,-74.85,40,3.8
1947-08-24,05:15:00.000,-11.83,-76.6,30,3
1947-08-24,16:27:00.000,-11.25,-74.85,40,3.8
1947-08-25,09:10:00.000,-16.7,-71.8,20,3.4
1947-09-05,01:41:00.000,-8.6,-75.8,30,4.5
1947-09-10,11:20:00.000,-15.6,-74.8,60,4.3
1947-09-15,04:00:00.000,-10.2,-75.8,40,4.2
1947-09-18,13:15:00.000,-13.5,-76,90,4.7
1947-09-22,03:51:00.000,-10.333,-75.881,100,4.7
1947-09-25,23:50:00.000,-15,-73.73,110,5
1947-09-26,16:48:00.000,-8.32,-77.93,20,3.1
1947-09-29,06:30:00.000,-4.2,-80.7,30,4.1
1947-09-30,19:57:00.000,-5.85,-78.8,20,3.3
1947-10-01,08:00:00.000,-12,-77.8,40,4.3
1947-10-01,12:30:00.000,-8.264,-77.588,20,4
1947-10-03,00:15:00.000,-8.3,-77.6,30,3.2
1947-10-05,09:10:00.000,-8.3,-77.6,30,3
1947-10-07,12:00:00.000,-8.35,-77.45,20,3.5
1947-10-08,17:09:00.000,-9.5,-78.6,40,4.3
1947-10-13,08:45:00.000,-16.5,-71.7,30,3.9
1947-10-14,05:15:00.000,-17.2,-70.7,30,3.2
1947-10-15,08:00:00.000,-13.6,-76,90,4.8
1947-10-17,09:48:00.000,-4,-80.7,30,4.2
1947-10-19,21:12:00.000,-11.15,-75.9,40,4.5
1947-10-24,21:00:00.000,-16.5,-71.7,15,3.3
1947-10-31,15:00:00.000,-13,-72.5,20,4
1947-11-01,14:58:53.000,-11.257,-75.088,100,7.3
1947-11-08,05:24:19.000,-2.1,-76.8,0,6
1947-11-08,05:29:19.000,-2.1,-76.8,0,6
1947-11-15,22:10:00.000,-12,-77.8,40,4.3
1947-11-18,04:40:00.000,-12,-77.8,40,4.3
1947-11-23,14:56:00.000,-11.8,-77.5,40,4.4
1947-11-24,06:52:00.000,-11.9,-76.9,80,4.7
1947-11-25,18:40:00.000,-11.1,-74.8,30,4.3
1947-11-27,02:27:00.000,-4,-80.7,30,4.2
1947-11-28,07:05:00.000,-11.1,-74.8,30,3.8
1947-11-29,04:50:00.000,-12.1,-77.5,40,3.9
1947-12-01,17:10:00.000,-12.1,-77.5,40,3.9
1947-12-04,19:00:00.000,-13,-76.2,90,4.3
1947-12-11,11:00:00.000,-12.1,-77.5,40,3.9
1947-12-13,12:10:00.000,-10.2,-75.6,40,4.3
1948-01-04,10:17:00.000,-13.6,-76.6,80,4.3
1948-01-10,08:55:00.000,-11.1,-74.8,30,4.3
1948-01-10,18:26:00.000,-13.57,-71.93,30,3
1948-01-12,04:45:00.000,-11.8,-75.1,30,3.8
1948-01-16,04:45:00.000,-7.8,-79.5,40,3.6
1948-01-18,01:17:00.000,-11.1,-74.8,40,4.6
1948-01-26,02:05:00.000,-11.1,-74.8,30,4.3
1948-01-27,11:45:00.000,-7.32,-78.42,30,3.1
1948-01-28,15:00:00.000,-15,-73.5,30,3.3
1948-01-29,03:42:00.000,-11.1,-74.8,30,4.3
1948-01-31,00:30:00.000,-12.1,-77.5,40,3.9
1948-02-09,22:22:00.000,-12.1,-77.5,40,3.9
